0,1,2,3,4,5
"2019-06-15, 17:00", ,Stumbras,0 : 3,Palanga,LFF Kauno treniruočių centro st.
"2019-06-14, 20:00", ,K. Žalgiris,3 : 4,Žalgiris,„Kauno Žalgirio“ FA stadionas
"2019-06-14, 18:00", ,Atlantas,2 : 3,Riteriai,Klaipėdos m. centrinis stadionas
"2019-06-02, 18:00", ,Panevėžys,4 : 1,Atlantas,„Aukštaitijos“ stadionas
"2019-06-01, 19:00", ,Riteriai,1 : 0,K. Žalgiris,LFF stadionas
"2019-06-01, 17:00", ,Palanga,0 : 2,Sūduva,Palangos m. stadionas
"2019-05-31, 19:00", ,Žalgiris,2 : 1,Stumbras,LFF stadionas
"2019-05-22, 20:00", ,Sūduva,1 : 0,Žalgiris,Marijampolės futbolo arenos stadionas
"2019-05-22, 18:00", ,K. Žalgiris,4 : 3,Stumbras,„Kauno Žalgirio“ FA stadionas
"2019-05-21, 20:00", ,Riteriai,1 : 1,Panevėžys,LFF stadionas
"2019-05-21, 18:00", ,Atlantas,2 : 1,Palanga,Klaipėdos m. centrinis stadionas
"2019-05-18, 19:00", ,Sūduva,2 : 0,Stumbras,Marijampolės futbolo arenos stadionas
"2019-05-18, 18:00", ,Palanga,1 : 3,Riteriai,Palangos m. stadionas
"2019-05-18, 17:00", ,Panevėžys,1 : 1,K. Žalgiris,„Aukštaitijos“ stadionas
"2019-05-17, 19:00", ,Žalgiris,3 : 0,Atlantas,LFF stadionas
"2019-05-12, 17:00", ,Panevėžys,2 : 1,Palanga,„Aukštaitijos“ stadionas
"2019-05-12, 14:00", ,Atlantas,0 : 0,Stumbras,Klaipėdos m. centrinis stadionas
"2019-05-11, 15:00", ,K. Žalgiris,0 : 3,Sūduva,LFF Kauno treniruočių centro st.
"2019-05-11, 13:00", ,Riteriai,1 : 0,Žalgiris,LFF stadionas
"2019-05-05, 19:00", ,Žalgiris,2 : 1,Panevėžys,LFF stadionas
"2019-05-05, 17:00", ,Sūduva,4 : 0,Atlantas,Marijampolės futbolo arenos stadionas
"2019-05-05, 15:00", ,Palanga,0 : 3,K. Žalgiris,Klaipėdos dirbtinės dangos st.
